AC3.5	7	0.297,-0.185,-0.447,-1.588,-1.623,-1.057,-0.016,
AC3.8	7	0.021,-0.244,-0.111,0.097,-0.148,-0.664,-1.157,
AH6.6	7	-0.165,-0.232,-0.340,1.028,-0.417,-0.762,-0.664,
B0001.3	7	-0.281,-0.416,-0.576,-0.255,-0.517,-1.189,0.941,
B0024.1	7	0.374,0.148,-2.139,-2.670,-2.361,-3.222,1.190,
B0024.4	7	0.192,-0.093,0.088,0.050,-0.832,-0.925,1.026,
D2030.10	7	0.590,0.300,0.092,0.351,0.607,-0.152,0.403,
E01G4.5	7	-0.214,-0.065,-0.471,0.408,-0.423,-0.461,-0.299,
E01G6.1	7	-0.120,-0.148,-0.430,-0.434,-0.618,0.014,-0.439,
E02H1.3	7	-0.107,-0.279,-0.544,0.187,-0.967,-0.868,0.146,
E02H4.2	7	0.114,0.082,0.060,0.275,-0.212,-0.266,-0.228,
E03H4.1	7	0.617,-0.077,0.286,-0.115,0.207,-0.326,-0.207,
F53C11.4	7	0.241,1.429,0.643,0.518,-0.457,-0.188,0.522,
F53F1.11	7	0.015,-0.023,0.066,0.655,-0.282,-0.183,0.594,
F53F4.8	7	0.326,0.367,0.282,0.567,-0.108,0.178,0.557,
F53H4.1	7	-0.130,0.062,0.081,0.185,0.314,-0.364,0.418,
F54B3.3	7	-0.041,-0.451,-0.754,-1.089,-1.254,-1.180,1.047,
F54B11.7	7	0.019,0.014,-0.180,0.201,-0.326,-0.212,-0.117,
B0285.8	7	0.023,-0.233,-0.526,0.167,-0.283,-0.433,0.023,
B0365.1	7	0.930,0.853,0.178,0.226,-0.279,-1.272,1.187,
B0393.1	7	0.402,-0.664,-1.280,-0.900,-0.720,-1.149,0.381,
B0393.5	7	-0.576,-0.240,-0.621,-0.715,-1.876,-0.356,-0.270,
B0462.2	7	-0.075,-0.389,-0.115,0.183,-1.145,-1.027,-0.224,
B0491.2	7	0.822,0.766,-2.550,-1.420,-1.027,-0.243,-0.505,
C47D12.6	7	0.308,-1.043,-1.288,-1.387,-1.652,-1.974,0.226,
C47E12.2	7	-0.208,-0.273,0.138,0.337,0.699,-0.232,0.084,
C47E12.4	7	0.015,-0.389,-1.253,2.642,0.000,-0.764,0.121,
C47E8.3	7	-0.013,-0.332,-0.150,0.280,0.083,-0.243,-0.530,
C47E8.6	7	-0.162,-0.271,-0.017,0.785,-0.155,-0.073,-0.421,
C47F8.3	7	-0.336,-0.066,-0.091,0.216,-0.334,-0.590,-0.300,
F22G12.1	7	-0.266,-0.199,-0.387,0.284,-0.297,-0.600,-0.730,
F23B12.8	7	-0.615,0.113,-0.523,0.660,-0.752,-1.505,-0.940,
F23H12.4	7	-2.098,1.857,-2.447,-1.919,-2.196,0.723,-1.213,
F25B3.1	7	0.095,0.301,-0.292,-0.084,-0.749,-0.972,0.504,
F25D7.1	7	-0.117,0.693,-0.178,0.114,0.104,-1.086,0.693,
F25H2.9	7	0.583,0.668,-0.781,0.341,-0.604,-1.044,1.212,
F54D5.7	7	0.220,-0.269,-0.265,-0.118,-0.202,-0.968,0.171,
F54G8.4	7	0.285,0.323,0.005,0.585,-0.686,-0.058,0.342,
F55A11.6	7	0.217,0.243,0.266,0.434,-0.706,-0.510,-0.647,
F55B12.6	7	-0.017,-0.110,0.042,0.452,-0.240,-0.624,0.204,
F55C10.4	7	-0.004,-0.079,-0.051,-0.089,-0.790,-0.272,0.091,
F55C5.5	7	0.236,-0.367,-0.732,-0.738,-0.974,-0.810,0.584,
R11H6.2	7	-0.256,0.344,0.387,0.611,0.393,-0.262,1.275,
R12H7.2	7	0.105,0.849,-0.304,0.018,-1.010,-0.648,0.288,
R13G10.4	7	-0.275,0.123,-0.049,-0.044,0.067,0.304,-2.712,
R166.5	7	0.354,0.779,0.609,0.652,0.204,-0.154,-0.259,
R186.4	7	-0.789,-0.243,-0.247,0.166,0.010,-0.913,0.959,
R74.3	7	0.083,-0.263,-1.165,-1.091,-1.137,-0.413,-0.788,
T16A9.4	7	-0.005,-0.138,-0.307,-0.132,-0.215,-0.380,-0.420,
T16G12.1	7	0.039,-0.390,-0.728,0.271,-0.387,-0.779,-0.053,
T16G12.7	7	0.030,0.068,0.043,1.044,-1.016,-1.024,-1.319,
T16H12.5	7	-0.079,0.081,-0.190,0.409,-0.299,-0.519,-0.201,
T19B10.1	7	-0.176,-0.296,-1.206,-0.118,-0.959,-1.279,-0.132,
T19B10.3	7	-0.651,0.131,-0.184,-0.251,-1.013,0.596,-0.370,
Y61B8A.2	7	0.191,0.126,-0.074,-0.021,-0.415,0.134,-0.978,
Y61B8B.2	7	0.110,0.580,0.156,0.332,0.532,0.364,0.350,
Y6E2A.7	7	0.002,0.181,0.240,1.057,0.497,0.065,-0.899,
Y7A9B.1	7	-0.006,0.106,-0.108,0.290,-0.589,-0.307,-0.828,
ZC116.3	7	-0.242,-0.202,-0.030,-0.528,-0.614,-0.692,-0.901,
ZC302.2	7	-0.024,-0.007,0.036,0.208,-0.281,-0.899,-0.034,
B0303.7	7	-0.136,-0.128,-0.375,-0.022,-0.896,-0.882,-0.282,
B0336.3	7	-0.181,-0.246,-0.130,0.266,0.204,-0.586,-0.771,
