uc001abw.1	531	613	0044485
uc001abw.1	535	604	0040293
uc001abw.1	513	610	0043788
uc001abw.1	528	603	0039562
uc001abw.1	531	610	0043772
uc001abw.1	529	604	0043773
uc001abw.1	545	604	0042054
uc001abw.1	541	613	0035302
uc001abw.1	539	613	0035350
uc001abw.1	540	604	0042066
uc001abw.1	541	608	0043597
uc001abw.1	538	619	0044278
uc001abw.1	541	610	0036082
uc001abw.1	536	608	0035672
uc001abw.1	533	605	0044602
uc001abw.1	517	611	0043787
uc001abx.1	394	476	0044485
uc001abx.1	398	467	0040293
uc001abx.1	376	473	0043788
uc001abx.1	391	466	0039562
uc001abx.1	394	473	0043772
uc001abx.1	392	467	0043773
uc001abx.1	408	467	0042054
uc001abx.1	404	476	0035302
uc001abx.1	402	476	0035350
uc001abx.1	403	467	0042066
uc001abx.1	404	471	0043597
uc001abx.1	401	482	0044278
uc001abx.1	404	473	0036082
uc001abx.1	399	471	0035672
uc001abx.1	396	468	0044602
uc001abx.1	380	474	0043787
uc001abz.1	282	719	0042701
